year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1901,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,the Netherlands,male,Berlin University,Berlin,Germany,01/03/1911,Berlin,Germany
1901,Literature,The Nobel Prize in Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,male,,,,07/09/1907,Châtenay,France
1901,Peace,The Nobel Peace Prize,"for his lifelong work for international peace conferences, diplomacy and arbitration",02-Jan,463,Individual,Frédéric Passy,1822-05-20,Paris,France,male,,,,12/06/1912,Paris,France
1901,Peace,The Nobel Peace Prize,for his humanitarian efforts to help wounded soldiers and create international understanding,02-Jan,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,male,,,,30/10/1910,Heiden,Switzerland
1901,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep,Prussia,male,Munich University,Munich,Germany,10/02/1923,Munich,Germany
1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf,Prussia,male,Marburg University,Marburg,Germany,31/03/1917,Marburg,Germany
1902,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia,male,Berlin University,Berlin,Germany,15/07/1919,Berlin,Germany
1902,Literature,The Nobel Prize in Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig,male,,,,01/11/1903,Charlottenburg,Germany
1902,Peace,The Nobel Peace Prize,for his eminently practical administration of the Inter-Parliamentary Union,02-Jan,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,male,,,,16/03/1914,Bern,Switzerland
1902,Peace,The Nobel Peace Prize,for his untiring and skilful directorship of the Bern Peace Bureau,02-Jan,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,male,,,,07/12/1906,Bern,Switzerland
1902,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,02-Jan,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,the Netherlands,male,Leiden University,Leiden,the Netherlands,04/02/1928,,the Netherlands
1902,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,02-Jan,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,the Netherlands,male,Amsterdam University,Amsterdam,the Netherlands,09/10/1943,Amsterdam,the Netherlands
1902,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1,294,Individual,Ronald Ross,1857-05-13,Almora,India,male,University College,Liverpool,United Kingdom,16/09/1932,Putney Heath,United Kingdom
1903,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,male,Stockholm University,Stockholm,Sweden,02/10/1927,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,male,,,,26/04/1910,Paris,France
1903,Peace,The Nobel Peace Prize,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,male,,,,22/07/1908,London,United Kingdom
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,02-Jan,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,male,École Polytechnique,Paris,France,25/08/1908,,France
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,04-Jan,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire,female,,,,04/07/1934,Sallanches,France
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,04-Jan,5,Individual,Pierre Curie,1859-05-15,Paris,France,male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,19/04/1906,Paris,France
1903,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),male,Finsen Medical Light Institute,Copenhagen,Denmark,24/09/1904,Copenhagen,Denmark
1904,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,male,University College,London,United Kingdom,23/07/1916,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",02-Jan,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,male,,,,25/03/1914,Maillane,France
1904,Literature,The Nobel Prize in Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",02-Jan,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,male,,,,04/09/1916,Madrid,Spain
1904,Peace,The Nobel Peace Prize,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,1,467,Organization,Institute of International Law,1873-01-01,Ghent,Belgium,,,,,,,
1904,Physics,The Nobel Prize in Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,male,Royal Institution of Great Britain,London,United Kingdom,30/06/1919,,United Kingdom
1904,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,male,Military Medical Academy,St. Petersburg,Russia,27/02/1936,Leningrad,Russia
1905,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia,male,Munich University,Munich,Germany,20/08/1917,Starnberg,Germany
1905,Literature,The Nobel Prize in Literature,because of his outstanding merits as an epic writer,1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,male,,,,15/11/1916,Vevey,Switzerland
